Date,Weekly_Sales
2010-02-05,16999.288
2010-02-12,17377.267111111112
2010-02-19,18737.23022222222
2010-02-26,15984.829777777779
2010-03-05,17322.67288888889
2010-03-12,18450.507555555563
2010-03-19,20462.36400000001
2010-03-26,20506.482444444442
2010-04-02,29789.79133333333
2010-04-09,24346.345777777773
2010-04-16,20010.89822222222
2010-04-23,19575.464
2010-04-30,18885.747111111115
2010-05-07,20666.127333333334
2010-05-14,17927.808222222222
2010-05-21,21564.996222222228
2010-05-28,26254.87133333333
2010-06-04,31947.174666666662
2010-06-11,25313.03355555555
2010-06-18,25024.486888888892
2010-06-25,27069.14844444444
2010-07-02,26948.826666666664
2010-07-09,25775.774444444447
2010-07-16,21155.691777777778
2010-07-23,20282.15066666667
2010-07-30,19158.744444444448
2010-08-06,19548.242888888886
2010-08-13,18546.291333333338
2010-08-20,18860.422666666665
2010-08-27,17781.33555555555
2010-09-03,17763.93866666667
2010-09-10,18044.771111111113
2010-09-17,16198.752444444446
2010-09-24,15991.325555555553
2010-10-01,15888.503999999999
2010-10-08,16123.462888888886
2010-10-15,16404.441111111115
2010-10-22,16168.484888888894
2010-10-29,16303.208222222227
2010-11-05,17507.570666666674
2010-11-12,23427.57711111111
2010-11-19,26642.92666666667
2010-11-26,72413.61688888888
2010-12-03,47252.98311111111
2010-12-10,66246.65333333334
2010-12-17,90741.98377777777
2010-12-24,144239.5197777778
2010-12-31,18678.246888888887
2011-01-07,11968.817555555559
2011-01-14,10785.568222222224
2011-01-21,12189.203111111114
2011-01-28,11991.093333333332
2011-02-04,14153.444444444442
2011-02-11,15581.49222222222
2011-02-18,18234.532000000003
2011-02-25,17133.226888888894
2011-03-04,17177.71266666667
2011-03-11,16700.911777777783
2011-03-18,19313.979777777775
2011-03-25,17803.07933333334
2011-04-01,17613.931777777772
2011-04-08,19016.327777777777
2011-04-15,20736.97222222222
2011-04-22,29281.49155555555
2011-04-29,22766.73644444444
2011-05-06,19398.457555555557
2011-05-13,19877.275333333335
2011-05-20,19270.054888888888
2011-05-27,22926.777777777777
2011-06-03,30386.83622222222
2011-06-10,27174.903555555553
2011-06-17,25503.775333333335
2011-06-24,24768.125555555558
2011-07-01,26765.37888888889
2011-07-08,27158.386888888894
2011-07-15,21365.169111111118
2011-07-22,20164.456888888886
2011-07-29,18244.69466666667
2011-08-05,18346.226666666666
2011-08-12,16886.988666666668
2011-08-19,16584.890888888884
2011-08-26,16206.042888888887
2011-09-02,16357.303111111116
2011-09-09,17183.032444444438
2011-09-16,15741.44444444444
2011-09-23,15566.12444444445
2011-09-30,15293.517111111114
2011-10-07,16254.767999999996
2011-10-14,16059.27755555556
2011-10-21,23345.63777777778
2011-10-28,22957.997333333333
2011-11-04,23810.02622222222
2011-11-11,28873.245111111108
2011-11-18,28541.839555555547
2011-11-25,74047.92022222221
2011-12-02,42365.28866666666
2011-12-09,58822.090888888895
2011-12-16,79328.68555555555
2011-12-23,123020.9188888889
2011-12-30,34597.09755555555
2012-01-06,12600.530000000002
2012-01-13,10292.037555555553
2012-01-20,11284.809555555557
2012-01-27,11537.007555555556
2012-02-03,14532.199333333332
2012-02-10,16756.77666666667
2012-02-17,17262.428666666667
2012-02-24,16608.71355555556
2012-03-02,15900.81466666667
2012-03-09,16694.25155555555
2012-03-16,20202.59177777778
2012-03-23,19732.442666666666
2012-03-30,20473.94377777778
2012-04-06,29405.624444444435
2012-04-13,23817.79288888889
2012-04-20,19359.617111111118
2012-04-27,18708.49422222223
2012-05-04,19855.779999999995
2012-05-11,19582.342888888885
2012-05-18,20048.415999999994
2012-05-25,24814.85999999999
2012-06-01,29393.267111111112
2012-06-08,25991.01622222222
2012-06-15,25820.447555555547
2012-06-22,26353.53066666667
2012-06-29,25464.311333333328
2012-07-06,28259.566888888894
2012-07-13,20703.84177777778
2012-07-20,19418.522888888896
2012-07-27,17949.735111111113
2012-08-03,17829.33133333334
2012-08-10,17675.279555555553
2012-08-17,17219.59222222222
2012-08-24,17880.637777777774
2012-08-31,16829.59333333333
2012-09-07,17911.69244444444
2012-09-14,16866.50444444445
2012-09-21,20909.076222222222
2012-09-28,19329.535777777786
2012-10-05,20530.053555555558
2012-10-12,19041.51222222222
2012-10-19,19817.968
2012-10-26,20435.298222222224
