Date,Weekly_Sales
2010-02-05,22516.313698630136
2010-02-12,22804.964444444442
2010-02-19,22081.755753424655
2010-02-26,19579.549861111114
2010-03-05,21298.721643835615
2010-03-12,19719.747808219185
2010-03-19,20451.60819444444
2010-03-26,19505.971111111117
2010-04-02,22152.33722222222
2010-04-09,21170.116849315076
2010-04-16,20082.9901369863
2010-04-23,19323.001666666667
2010-04-30,20071.840985915496
2010-05-07,22277.154444444448
2010-05-14,20753.49305555556
2010-05-21,19995.172428571434
2010-05-28,20458.142142857145
2010-06-04,22753.869154929576
2010-06-11,21726.212535211267
2010-06-18,21786.725507246374
2010-06-25,20619.00869565217
2010-07-02,20444.084109589036
2010-07-09,21775.692676056333
2010-07-16,20699.12742857143
2010-07-23,19237.016666666674
2010-07-30,19055.369444444445
2010-08-06,22935.596857142853
2010-08-13,21242.78535211268
2010-08-20,21015.006805555557
2010-08-27,20702.04171428572
2010-09-03,21391.16013888889
2010-09-10,20936.95402777778
2010-09-17,19866.370416666665
2010-09-24,19039.31028169014
2010-10-01,19908.62328767123
2010-10-08,20660.820958904107
2010-10-15,19991.90547945205
2010-10-22,18430.87671232877
2010-10-29,19225.128055555557
2010-11-05,21550.823333333323
2010-11-12,20472.321780821916
2010-11-19,20608.11361111112
2010-11-26,27161.445972222216
2010-12-03,21803.292676056328
2010-12-10,23698.7923943662
2010-12-17,26264.374027777765
2010-12-24,33165.975
2010-12-31,19258.028309859154
2011-01-07,20065.726111111104
2011-01-14,19591.745915492953
2011-01-21,18436.18638888889
2011-01-28,18547.877605633803
2011-02-04,22628.585633802813
2011-02-11,22911.318472222225
2011-02-18,23428.37194444444
2011-02-25,20233.33722222222
2011-03-04,22414.567260273972
2011-03-11,20989.076081081083
2011-03-18,21900.25083333333
2011-03-25,21705.66732394366
2011-04-01,21057.25
2011-04-08,22736.0471830986
2011-04-15,21970.2676056338
2011-04-22,21733.608472222222
2011-04-29,20787.009857142853
2011-05-06,22949.172957746483
2011-05-13,21983.227123287674
2011-05-20,19836.364861111106
2011-05-27,20648.544647887316
2011-06-03,23358.263000000006
2011-06-10,22379.5538028169
2011-06-17,21279.373055555552
2011-06-24,20265.213380281693
2011-07-01,21573.01579710145
2011-07-08,21926.423428571434
2011-07-15,20787.42814285714
2011-07-22,20245.316231884066
2011-07-29,19597.388260869564
2011-08-05,22878.644366197183
2011-08-12,21480.944929577465
2011-08-19,21260.575416666667
2011-08-26,19793.15486486486
2011-09-02,21236.01671232877
2011-09-09,21395.433888888892
2011-09-16,21327.602535211263
2011-09-23,19166.94819444444
2011-09-30,19368.914305555558
2011-10-07,22652.638194444433
2011-10-14,20743.415694444448
2011-10-21,20868.927500000005
2011-10-28,20072.904027777775
2011-11-04,23572.633055555547
2011-11-11,22151.92902777778
2011-11-18,21381.718055555557
2011-11-25,27853.707671232878
2011-12-02,21699.7801369863
2011-12-09,24653.183287671232
2011-12-16,26127.45375
2011-12-23,30678.2295945946
2011-12-30,20513.187945205475
2012-01-06,21532.91555555555
2012-01-13,20557.76295774648
2012-01-20,19101.285479452057
2012-01-27,18847.50842857143
2012-02-03,22726.939583333336
2012-02-10,24691.471643835623
2012-02-17,24929.726027397253
2012-02-24,21380.38652777778
2012-03-02,23450.28833333333
2012-03-09,23597.62197183098
2012-03-16,23298.233055555556
2012-03-23,21282.648873239435
2012-03-30,23233.868028169014
2012-04-06,26384.401111111107
2012-04-13,22831.432394366195
2012-04-20,21430.67422535211
2012-04-27,20689.13197183098
2012-05-04,23725.63366197183
2012-05-11,22691.493661971832
2012-05-18,22798.59814285714
2012-05-25,21907.669718309862
2012-06-01,22879.96591549296
2012-06-08,23572.652222222227
2012-06-15,22966.295774647882
2012-06-22,21518.955070422537
2012-06-29,22324.949130434787
2012-07-06,25283.630857142856
2012-07-13,21507.24
2012-07-20,20804.927222222224
2012-07-27,19987.829305555562
2012-08-03,22973.743521126755
2012-08-10,22116.80513888889
2012-08-17,22192.61180555556
2012-08-24,21043.977183098596
2012-08-31,21973.38055555556
2012-09-07,22763.93602739726
2012-09-14,21075.40097222222
2012-09-21,21213.043098591552
2012-09-28,19685.743287671237
2012-10-05,23205.36069444444
2012-10-12,21548.942602739724
2012-10-19,21240.40521126761
2012-10-26,20745.27416666666
